Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
igor dudek,121.25,600.0,120+,EPF,2024-05-07,european open junior and sub-junior equipped powerlifting championships
igor filippov,129.4,965.0,120+,EPF,2012-06-05,european juniors & sub-juniors powerlifting championships
igor gagin,119.3,1025.0,120,EPF,2012-05-08,european open powerlifting championships
igor nemtsov,115.6,852.5,120,EPF,2011-09-16,western european powerlifting championships
ihar yuazapchuk,64.45,565.0,66,EPF,2014-04-09,european sub-juniors & juniors championships
ihar yuzapchuk,58.4,455.0,59,EPF,2012-06-05,european juniors & sub-juniors powerlifting championships
ihar yuzapchuk,63.91,525.0,66,EPF,2013-04-09,european sub-juniors & juniors powerlifting championships
ihor chornodoliuk,72.85,522.5,74,EPF,2021-08-03,european open juniors & sub-juniors powerlifting championships
ihor dorokhin,58.6,520.0,59,IPF,2014-09-01,world sub-juniors & juniors powerlifting championships
ihor nikitin,81.92,647.5,83,IPF,2023-08-24,world junior and sub-junior equipped championships
ihor orobets,120.71,590.0,120+,EPF,2017-05-08,european equipped powerlifting championships
ihsan ahmatov,117.96,722.5,120,IPF,2012-08-28,world sub-juniors & juniors powerlifting championships
ildefonso pardo,102.12,827.5,105,IPF,2013-09-24,world masters powerlifting championships
ilia druzhinin,72.3,645.0,74,IPF,2012-08-28,world sub-juniors & juniors powerlifting championships
ilia kolesov,75.75,665.0,83,IPF,2021-08-23,world juniors sub-juniors & masters championships
ilia petrov,86.3,620.0,93,EPF,2011-03-19,danube cup
ilia sherstnev,116.88,840.5,120,EPF,2019-05-04,european equipped powerlifting championships
ilia sherstnev,138.75,942.5,120+,IPF,2021-08-23,world juniors sub-juniors & masters championships
iliy sandakov,65.9,532.5,66,EPF,2014-04-09,european sub-juniors & juniors championships
illia sytnik,72.3,627.5,74,IPF,2021-08-23,world juniors sub-juniors & masters championships
illia yefremov,73.27,582.5,74,EPF,2018-05-06,european men's championships
illya kuchma,90.05,745.0,93,IPF,2021-08-23,world juniors sub-juniors & masters championships
ilya kotenyov,82.5,722.5,83,IPF,2016-09-03,world sub-juniors & juniors powerlifting championships
ilya kuznetsov,73.7,752.5,74,EPF,2014-04-09,european sub-juniors & juniors championships
ilya marichev,52.65,545.5,53,IPF,2018-09-03,world juniors & sub-juniors championships
ilya marichev,58.53,645.0,59,EPF,2019-05-04,european equipped powerlifting championships
ilya marichev,65.8,815.5,66,IPF,2021-08-23,world juniors sub-juniors & masters championships
ilya maslov,104.15,917.5,105,IPF,2023-11-13,world open equipped powerlifting championships
ilya mishin,65.7,662.5,66,EPF,2014-04-09,european sub-juniors & juniors championships
ilya mishin,73.85,785.0,74,IPF,2018-09-03,world juniors & sub-juniors championships
ilya orel,72.77,737.5,74,EPF,2013-04-09,european sub-juniors & juniors powerlifting championships
imrich švec,103.59,792.5,105,EPF,2012-07-17,european masters powerlifting championships
ingi gautason aron,73.73,635.0,74,EPF,2019-09-06,western european championships
